Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
31	-15788.3	-15772.1	-16.1998	0.110725	0.0898363	0.0937565	0.0720196	0.0942315	0.057387	0.0798607	0.118935	0.135787	0.0970618	0.156607	0.116847	0.104379	0.10654	0.126722	0.0816257	0.0895737	0.10628	0.132231	0.0611741	0.0960396	0.0882893	0.0979847	0.0216694	0.0242832	0.0165926	0.00948382	0.0286392	0.0237689	0.0137423	0.041021	0.0511674	0.0607374	0.0352135	0.0331802	0.0304832	0.0628854	0.0960199	0.0407372	0.0434047	0.0315776	0.0364829	0.0232506	3.03823
32	-15786.4	-15769.9	-16.4581	0.0966963	0.0705285	0.0799885	0.0780049	0.0968462	0.0788388	0.0557795	0.116709	0.0953725	0.104361	0.18089	0.138025	0.103913	0.108347	0.139784	0.0641851	0.0749857	0.118376	0.130161	0.0727241	0.121189	0.0952585	0.0979847	0.0229196	0.0249804	0.0187754	0.0162637	0.027757	0.0207357	0.0105598	0.041203	0.0288274	0.0815685	0.0503244	0.0544524	0.026486	0.069036	0.0701181	0.041103	0.0422103	0.0226334	0.0374409	0.0377244	3.06407
33	-15796.8	-15781.8	-14.9858	0.0889641	0.0786058	0.0763859	0.0622895	0.0968462	0.0704587	0.0829101	0.0986416	0.11375	0.101491	0.18089	0.101336	0.0866169	0.124138	0.138224	0.0840758	0.108744	0.0944039	0.113455	0.061516	0.100667	0.072224	0.0900906	0.0195182	0.0178946	0.0270067	0.0299196	0.0238756	0.0127247	0.00675077	0.0510704	0.0319127	0.0906845	0.0453725	0.0287451	0.0139612	0.0513071	0.0665502	0.0306018	0.0438459	0.0326556	0.0274115	0.0382986	2.91683
34	-15788.4	-15772.9	-15.5236	0.0830326	0.110102	0.059511	0.0713925	0.105811	0.0868344	0.0658609	0.101285	0.104188	0.0951715	0.151804	0.124729	0.101079	0.108722	0.13284	0.0727965	0.0784063	0.0982246	0.12172	0.0691835	0.101139	0.0730929	0.100713	0.0225927	0.0341481	0.0221151	0.0259112	0.0295191	0.0218915	0.0163089	0.0607446	0.0287147	0.0637447	0.0402568	0.0430926	0.0246916	0.0742319	0.0725205	0.0367336	0.0401739	0.0200665	0.0340845	0.0414333	2.97062
35	-15782.3	-15765.5	-16.799	0.0947656	0.0875949	0.0816978	0.103272	0.119489	0.0719398	0.067393	0.117705	0.121264	0.0920638	0.145156	0.133454	0.100081	0.114177	0.137795	0.074623	0.0658178	0.10839	0.131208	0.0701979	0.090399	0.0754591	0.102758	0.0287674	0.0340141	0.0347509	0.0286589	0.0335173	0.0136801	0.00815965	0.049736	0.0347832	0.0734273	0.0449104	0.0474049	0.0334726	0.0798425	0.0677028	0.050607	0.0375544	0.0266796	0.0368482	0.0269336	3.09815
36	-15790	-15774.1	-15.9194	0.0999641	0.0874111	0.0816978	0.0603018	0.119489	0.0828093	0.0976688	0.107432	0.0922965	0.0932544	0.169685	0.129029	0.104743	0.109636	0.137795	0.083994	0.0686904	0.111053	0.131665	0.0735089	0.0846655	0.0747123	0.0917829	0.0334156	0.0342642	0.0318354	0.0163646	0.0187049	0.015038	0.00452554	0.0462419	0.0351821	0.0591684	0.0416906	0.0388726	0.0463	0.0475362	0.0860741	0.0460561	0.0272223	0.0271503	0.0325118	0.0287556	3.0102
37	-15785.2	-15769	-16.2359	0.0915093	0.0907887	0.0849816	0.0980848	0.104223	0.0733153	0.0608128	0.131907	0.096807	0.106476	0.154691	0.124227	0.0922926	0.114521	0.132716	0.0693824	0.0832731	0.12414	0.12075	0.0753519	0.0926413	0.0758551	0.105625	0.0327159	0.0229208	0.0307166	0.019269	0.0282376	0.0350761	0.00810381	0.0428844	0.0453911	0.0609712	0.0564922	0.0258968	0.0360212	0.0615833	0.0682537	0.0459207	0.0301571	0.0194734	0.0295329	0.0378558	3.04185
38	-15758.1	-15741.6	-16.4176	0.0812021	0.0923363	0.0791081	0.0657489	0.0947558	0.0839198	0.0681239	0.113755	0.111961	0.0799775	0.156949	0.134202	0.0763699	0.105897	0.145154	0.102186	0.0702296	0.125009	0.106537	0.0862123	0.0940539	0.0943528	0.106705	0.0370362	0.0261695	0.0246527	0.0293961	0.0234635	0.0248974	0.0145135	0.0561427	0.0294568	0.0644481	0.0648332	0.036218	0.025472	0.050408	0.100852	0.036488	0.0319775	0.0224368	0.0462488	0.0401598	3.06002
39	-15749	-15731.5	-17.435	0.098031	0.0992972	0.0786491	0.0497216	0.111373	0.0839198	0.0905321	0.128458	0.119655	0.0888183	0.152001	0.135466	0.0924427	0.131636	0.129536	0.0739578	0.082052	0.12294	0.133484	0.069029	0.105408	0.112451	0.108541	0.0154326	0.0191909	0.0393722	0.0213561	0.039035	0.0128414	0.028256	0.0359147	0.0431642	0.0847942	0.040186	0.0455169	0.0338066	0.0425491	0.101673	0.0463166	0.025252	0.0239817	0.0385358	0.0271728	3.16175
40	-15735	-15718.3	-16.6533	0.114806	0.0760812	0.0742501	0.0565803	0.113997	0.0797344	0.075357	0.128458	0.112929	0.0961408	0.184043	0.128519	0.0869752	0.112501	0.129819	0.074624	0.0904551	0.140485	0.12004	0.0695664	0.105797	0.0906364	0.101368	0.015096	0.0212631	0.0290027	0.0263022	0.0308237	0.0250751	0.0325062	0.050619	0.0281075	0.0659737	0.0424153	0.0342086	0.024424	0.0609508	0.0580053	0.0378908	0.0362376	0.0357883	0.0371878	0.0285371	3.08358
